easting,northing
158327,3605455
158109,3600946
156363,3600982
156036,3595054
155599,3580362
152945,3579853
152290,3581344
151599,3581780
149635,3581998
149199,3582544
146617,3583162
144398,3584362
144035,3585199
142871,3585235
142616,3579816
142907,3579816
142653,3575016
132142,3575561
131124,3574798
130106,3574907
129597,3574579
129779,3574216
130688,3574216
130688,3573852
126215,3573961
126287,3578871
125415,3578871
125560,3580435
122978,3580544
123123,3581235
121741,3585235
122942,3587272
123451,3587344
123669,3586617
124687,3587417
124760,3588726
126215,3589235
127451,3588726
127924,3592254
130579,3592108
130651,3594036
133888,3593781
133997,3595600
133197,3595636
133379,3597491
136070,3597309
136325,3601055
137198,3601018
137416,3602800
136361,3602909
136361,3603928
137379,3605128
139961,3606037
141234,3606146
143344,3607274
144507,3607346
145198,3607201
147089,3607637
151854,3605637
152835,3605819
153563,3605382
154654,3605492
152945,3603746
154581,3603746
155999,3604873
156618,3604801
157236,3605273
158327,3605455
